"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"653635",660.489229515755,0.635086670456191,0.0749309125677751,8.47562973267882,2.33811296578168e-17,2.92270604674362e-16
"102723897",796.040655757139,0.581637941748585,0.0670700243805347,8.67209975127711,4.24223766556547e-18,5.55662371743539e-17
"113219467",315.704033969573,-0.629086068287633,0.120407638114525,-5.22463589634805,1.74498132298492e-07,1.04015839876842e-06
"284600",65.0643391964607,-0.799171904582555,0.226199762297116,-3.53303600528472,0.000410816518105084,0.00152662533966239
"100130417",11.7367956146817,-2.36381756399249,0.601895726163397,-3.92728750386704,8.59092648190047e-05,0.000357170819127602
"148398",1389.83777750678,-0.134302725177447,0.0505617236230347,-2.65621334784288,0.00790236022186033,0.0223467245521064
"26155",20695.15854292,-0.156063828812266,0.0264488914340462,-5.90058109624107,3.62223521056133e-09,2.53928264931979e-08
"84069",164.718283709911,0.349022842405513,0.140744174914766,2.47983863358381,0.0131441852681759,0.0350916426882432
"57801",55.6919777623942,-2.08682638394912,0.268675937799949,-7.76707583506392,8.03187602954686e-15,8.66965622384709e-14
"9636",244.37234710669,0.511704660187584,0.114696403359523,4.46138366330122,8.14321499364503e-06,3.94776897239776e-05
"375790",14275.8880952962,0.156360095518472,0.0283584395352802,5.51370590486644,3.51355536389272e-08,2.24584545636455e-07
"51150",7975.32189235112,-0.101507582028212,0.0295345470745128,-3.43691006237943,0.000588390945208945,0.00213201850854006
"116983",2132.60110854412,0.116376387872594,0.0490860329967791,2.37086561629924,0.0177464821608079,0.0457778209742006
"80772",1189.50283220382,0.144830425007997,0.0579257051740459,2.50027901383045,0.0124095527857514,0.0333555755140448
"1855",5257.90396685144,0.164210414970369,0.0398076839321111,4.12509341790437,3.7058430751546e-05,0.000163512707963654
"54587",352.199312295358,0.523136624160253,0.102226118046862,5.11744585586668,3.09700926338977e-07,1.78837803685059e-06
"54998",8658.64658468275,0.111793337954583,0.0322029821023078,3.4715212895321,0.000517518294190842,0.00189010327572082
"81669",2704.9351967063,0.280201083465944,0.0430028819321501,6.51586756227279,7.22707196808352e-11,5.87603708573832e-10
"55052",4242.54236257913,0.100014966580775,0.0336667196573436,2.97073690572521,0.00297086169011415,0.00932422793089998
"102724312",40.2363665009035,0.964287333829923,0.28603265246981,3.37124914062636,0.000748281530829572,0.00265127639393757
"64856",556.15407391941,1.10391414171085,0.153108008428573,7.21003527536476,5.59373841979816e-13,5.3807800471793e-12
"83858",4597.04575835158,-0.275800228207059,0.0351732216571331,-7.8411989352453,4.46264784745518e-15,4.88248335854101e-14
"643988",412.269559141526,0.621890963886203,0.0909656331129681,6.83654851402937,8.11238942316527e-12,7.10598650677415e-11
"105378586",52.1527506219727,0.739466384373205,0.251909709588221,2.93544216926754,0.00333072690123258,0.010315778878656
"142678",1393.21628889121,-0.24141952607208,0.0547940436457498,-4.40594469780121,1.05323834165473e-05,5.03561428600216e-05
"728661",3199.77433140146,0.214509370019169,0.0378635668214761,5.66532389910767,1.46747068152793e-08,9.72760418243429e-08
"728642",2370.73064848632,-0.14098921514483,0.0460621009454069,-3.06085072654266,0.00220709099515217,0.00711229866295961
"9906",1677.89424243837,-0.461489638013364,0.04823534639448,-9.56745773605923,1.09566678275723e-21,1.71845079678375e-20
"2782",22246.5332590927,-0.177173624316855,0.0348243616942706,-5.08763450920637,3.62557230644151e-07,2.07921497818266e-06
"5590",1064.34165261964,-0.253063664317662,0.0572983279660319,-4.41659771411978,1.00266585707067e-05,4.80095242971294e-05
"199990",2617.3223381566,-0.150857209547589,0.0422408947863999,-3.57135449687869,0.000355139826438684,0.00133246902085484
"6497",4402.28261697179,-0.377430055992152,0.0368269362140294,-10.2487498226466,1.19884050333741e-24,2.12250332004859e-23
"5192",1244.44233818815,0.231513679675624,0.0535791184931633,4.32096843297571,1.55345898676813e-05,7.25333719572821e-05
"55229",1143.91923939074,0.16175636572172,0.0555964490522867,2.9094729695703,0.00362038692142333,0.0111060678419816
"115110",23.8548101976438,1.05807348971214,0.378129284996148,2.79817917229797,0.00513915959732096,0.0151903447874649
"8764",120.117943451478,1.02927422213877,0.170940777598334,6.021232830456,1.73093552824557e-09,1.25118104347654e-08
"100287898",19.6414017281324,1.33415755488578,0.439465013971978,3.03586750359802,0.00239844735358736,0.00767465542714296
"27237",30.0293937240283,-3.16031019227933,1.0055978199289,-3.14271782381428,0.00167387117977717,0.00552919663635025
"127262",1455.00843166651,0.130072020643852,0.0495878562888661,2.62306198288021,0.00871434172265441,0.0243646983929022
"49856",2288.76851077638,0.189744763727126,0.0413850440857413,4.58486315331727,4.54283871158876e-06,2.28592317217655e-05
"57212",310.093755516742,5.61261502606858,0.255024480672889,22.008142164468,2.40653104665783e-107,3.66475653578204e-105
"388588",6.53550531234048,1.85895610666131,0.777852994466668,2.38985530670342,0.0168550117091575,0.0437446169853744
"100133612",18.7790698152554,-1.25055375269485,0.426875587715654,-2.92955087777907,0.0033945223739731,0.0104902982674627
"105376673",282.586076031866,-3.44865801703473,0.155930922869018,-22.1165754270024,2.18930247278929e-108,3.37962322820034e-106
"55966",293.189168599476,-0.650084330603931,0.106362128143778,-6.11199063002166,9.83959625599348e-10,7.28052594936247e-09
"8514",1485.27173437765,-0.18991134753542,0.0516016191029251,-3.68033699013633,0.000232925923510704,0.000901388129135345
"26038",41.7350543216307,-3.452338785861,0.388020177010611,-8.89731769223585,5.72125574700018e-19,7.87214053882112e-18
"23463",7179.85518534974,-0.153047967887879,0.0301818189146458,-5.07086628280086,3.96008951589137e-07,2.25955939122584e-06
